Fraud_Label,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
0,1790.44,450.56,13445.97,6,6,0,5,2,0.2,10,2.615514,0.199528,9.999545,2.614933,0,0,0,12,15.68959511,15.69308421,0,0.003489099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,803.95,112925.21,340383.53,2,3,0,2,2,0,6.995,2.333333,6.955496,6.956,6.955748,0,0,0,5,13.911496,7,0,-6.911496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18649.44,15420.31,266825.07,11,4,0,3,6,0.195,4,1.67375,0,1.9,0.759219,0,0,0,15,8.351405033,6.695,0,-1.656405033,4,148.7699492,0,0,0,4,0,4,0,0,0,0,0,136.515289,37.192487,0,0,0,0,0,0,0,4,None,INS Promo
0,65.85,32.24,204236.48,2217,1807,0,1471,1205,0,799.99874,18.736369,0,1100,15.276167,0,0,0,4024,33867.26324,33856.6182,0,-10.64504551,5,4195.406065,4193.352,0,1,3,0,3,0,0,0,0,1,2096.676,1048.851516,4193.352,4193.352,4193.352,0,0,0,1,3,TenXPay,TenXPay
0,181.7,56819.72,286279.03,12,5,0,5,7,0,174.995,63.085,0.1,225,59.516667,0,0,0,17,714.2,315.425,0,-398.775,11,255.2313319,0,0,0,9,0,10,0,0,0,0,0,219.313921,23.202848,0,0,0,0,0,0,0,10,None,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY
0,23359.72,27049.27,1169229.5,35,13,0,6,23,0,972.434,182.498725,0,500,85.766674,0,0,0,48,3001.833603,2372.483424,0,-629.3501786,20,95357.7025,96084.93585,0,8,9,0,11,0,0,0,0,0,50000,8668.882045,0,50000,10676.10398,0,0,0,6,11,Melon,EOS
0,20827.93,0,186707.1,8,1,0,1,2,10,10,10,1.621938,26,12.688992,0,0,0,9,101.5119377,10,0,-91.51193767,1,0.031819385,0,0,0,1,0,1,0,0,0,0,0.031819,0.031819,0.031819,0,0,0,0,0,0,0,1,None,OmiseGO
0,4183.18,1470.01,962956.75,181,140,0,57,103,0.0731,117.7,4.007761,0,240,3.288313,0,0,0,321,595.1846,561.0865,0,-34.0981,135,2447415.911,2345018.342,0,34,51,0,65,0,0,0,0,0,1051000,28458.32455,1.00E-06,526000,47857.51719,0,0,0,25,64,Friendz Coin,Cybereits Token
0,1969.46,288.59,97419.95,48,10,0,4,13,0.09,99.99,25.810391,0,100,6.758479,0,0,0,58,324.407,258.1039104,0,-66.3030896,27,406.7725702,0.000150816,0,2,6,0,10,0,0,0,0,0,365,20.338629,0,5.40E-05,2.20E-05,0,0,0,2,9,FunFair,FunFair
0,76.32,74.96,754216.92,3424,6576,2,4848,1129,3.80E-05,12867.39971,21.959042,0,9000,43.26697,0,0,0,10002,148146.1047,144402.6609,0,-3743.443847,579,3129376351,18694925.79,0,137,135,0,87,0,0,0,0,0,1553026016,11808967.36,0,9330000,59537.98022,0,0,0,7,85,MKR,DGD
0,26.01,82.8,652.87,6,6,0,5,1,0.77,1.3,1.047658,0.769559,1.299528,1.047197,0,0,0,12,6.283183805,6.28594603,0,0.002762225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8174.66,3.43,24534.25,3,3,0,1,1,0.001,0.34,0.147,0.01,0.379654,0.146551,0,0,0,6,0.439653612,0.441,0,0.001346388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,628.48,672.28,4486.98,5,2,0,2,4,0.740937,6.12616,3.433549,0,5,1.372346,0,0,0,7,6.86172829,6.86709731,0,0.00536902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.5,1,1,0,1,1,0.854871,0.854871,0.854871,0.853821,0.853821,0.853821,0,0,0,2,0.85382138,0.85487138,0,0.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8873.97,1,1,0,1,1,0.134989,0.134989,0.134989,0.134569,0.134569,0.134569,0,0,0,2,0.13456893,0.13498893,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22.94,14237.49,242427.3,17,17,0,1,1,0.017319,0.125315,0.050856,0.002319,0.121958,0.047446,0,0,0,34,0.80657981,0.86455069,0,0.05797088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7750.02,59605.36,531093.05,7,8,0,2,5,0.545459,27.48646,6.144594,0,5.693,1.013286,0,0,0,15,7.093,49.1567487,0,42.0637487,18,2640.39347,424.4909721,0,2,12,0,15,0,0,0,0,0,1064.624532,165.024592,0,424.490972,212.245486,0,0,0,2,15,Golem,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY
0,621.07,5012.75,93911.63,14,17,4,9,10,0.5,379,39.759632,0,330.62347,48.273105,0,0,0,35,675.82347,675.9137486,0,0.090278633,3,0.002407524,0,0,0,2,0,2,0,0,0,0,0,0.002407,0.000803,0,0,0,0,0,0,0,1,None,iEx.ec Network Token
0,13243.1,38530.77,414518.23,9,8,0,5,6,0,1.169147,0.270796,0,1.716638,0.421015,0,0,0,17,3.789138127,2.16637118,0,-1.622766947,19,320.9921798,6.15E-08,0,1,5,0,5,0,0,0,0,0,313,17.832899,0,0,0,0,0,0,1,5,AION,AION
0,5815.7,845.41,1040169.4,30,1024,0,1,30,0.20001,2.157888,0.24501,5.050851,13.321637,6.696126,0,0,0,1054,200.883777,250.8904564,0,50.00667943,15,3632.662868,0,0,0,11,0,15,0,0,0,0,0,1769.979553,242.177525,0,0,0,0,0,0,0,15,None,Tronix
0,1905.13,728.9,240610.1,124,6,0,4,8,0.5,69.995,12.769696,0,74,0.647486,0,0,0,130,80.28824888,76.61817535,0,-3.670073533,8,1016.953872,0,0,0,6,0,8,0,0,0,0,0,600,127.119234,0,0,0,0,0,0,0,8,None,XENON
0,24.63,3319.39,10032.05,3,3,0,3,1,0.04,10.805,5.281667,0.038953,10.80458,5.281031,0,0,0,6,15.84309204,15.845,0,0.001907957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,59.56,24076.63,120621.38,4,5,0,2,2,0.001,0.669937,0.173506,0.00074,0.668866,0.21567,0,0,0,9,0.86268094,0.86753194,0,0.004851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,28803.42,1,1,0,1,1,12,12,12,11.999559,11.999559,11.999559,0,0,0,2,11.999559,12,0,0.000441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56814.86,62086.18,294616.95,3,2,0,2,3,0,20,10,4.952493,19.953375,13.301956,0,0,0,5,39.90586873,20,0,-19.90586873,2,3.615281187,0,0,0,2,0,2,0,0,0,0,1.503014,2.112267,1.807641,0,0,0,0,0,0,0,2,None,DATAcoin
0,2.23,0,8.92,4,2,0,2,4,103.561873,1897.438127,1000.5,0.001078,1501.447643,500.249528,0,0,0,6,2000.998113,2001,0,0.001886545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52.48,287.13,9299.17,24,28,0,13,1,1.761724,2.160983,2.036327,1.761261,6.328314,2.375185,0,0,0,52,57.00443406,57.01714267,0,0.012708609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1466.39,44699.56,321695.25,6,7,0,5,2,0,23.601366,10.936062,0,49.999365,15.753561,0,0,0,13,94.52136494,76.5524362,0,-17.96892874,3,2000,2000,0,1,1,0,1,0,0,0,0,2000,2000,2000,500,1500,1000,0,0,0,1,1,Aragon,Aragon
0,25905.07,1129.25,161076.67,6,5,0,1,2,0.099,27.517666,13.701916,0.002079,27.516406,11.41756,0,0,0,11,68.50535928,68.50958028,0,0.004221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3834.85,2945.2,620113.1,121,53,0,18,63,0,44.425356,7.878402,0,52,3.571783,0,0,0,174,432.1857424,417.5553096,0,-14.6304328,91,635003.3331,603909.4009,0,14,32,0,35,0,0,0,0,0,114000,14767.51938,0,114000,12581.44585,0,0,0,22,34,BAT,Cofoundit
0,3880.52,1645.59,101238.1,21,12,0,5,12,0.99,8.995,4.114642,0,8,2.350007,0,0,0,33,49.35013842,49.37569865,0,0.025560232,11,2894.196767,1889,0,2,5,0,5,0,0,0,0,0,1000,321.577419,0,1889,944.5,0,0,0,2,5,TokenCard,Bancor
0,21466.84,20051.27,674198.88,23,9,0,5,11,0,20.095,6.755565,0,19,4.835781,0,0,0,32,111.2229715,60.80008333,0,-50.42288815,11,440.5877629,1.50E-08,0,1,6,0,10,0,0,0,0,0,365,44.058776,0,0,0,0,0,0,1,10,Crypto.com,XENON
0,1904.23,4621.92,72065,16,9,0,9,11,0.01,10,1.947683,0,7,1.118571,0,0,0,25,17.89714367,17.52914441,0,-0.367999256,10,483.5530639,482.9486996,0,4,6,0,5,0,0,0,0,0,251.186075,80.592177,0,399.52804,120.737175,0,0,0,4,5,Aragon,Golem
0,248.61,17068.13,611682.27,1156,19,0,9,72,0,600.98832,72.622476,0,500,1.206055,0,0,0,1175,1394.199349,1379.827042,0,-14.37230628,559,22892.27349,21687.16163,0,8,19,0,14,0,0,0,0,0,5000,586.981372,0,19999.99986,41.70608,0,0,0,4,13,CRYPTOPUNKS,CRYPTOPUNKS
0,10154.24,5026.86,1009090.55,87,25,0,10,41,0,40.136798,10.501527,0,48,3.933071,0,0,0,112,342.1772031,262.5381628,0,-79.63904036,70,132059.1029,98179.89698,0,15,24,0,30,0,0,0,0,0,50000,3884.091261,0,19900,2727.219361,0,0,0,11,29,Aigang,Nitro
0,3517.86,7188.55,381840.42,49,30,0,11,22,0,790.999437,110.350012,0,1060,100.90074,0,0,0,79,4944.136269,3310.500353,0,-1633.635915,55,3482165.455,3480165.208,0,5,25,0,26,0,0,0,0,0,1999998,89286.29371,50,1999998,217510.3255,0,0,0,6,26,Bancor,Ether Token
0,20.41,0,102.07,5,1,0,1,4,101,101,101,0.2,69.154642,20.199496,0,0,0,6,100.99748,101,0,0.00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8831.65,291444.58,0,33,1,5,0,0,23.462797,1.402192,0,0,0,0,0,0,34,0,46.27232361,0,46.27232361,1,0.527787122,0,0,0,1,0,1,0,0,0,0,0.527787,0.527787,0.527787,0,0,0,0,0,0,0,1,None,OmiseGO
0,244.78,169.09,16284.15,61,8,0,3,4,0.009559,0.405838,0.121569,0,0.3,0.010066,0,0,0,69,0.614,0.97255313,0,0.35855313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
